item_link,item_link-href,item_name,item_image-src,item_total_price,item_recipe_price,item_stats,item_builds_from,item_builds_into,item_maps
"Wit's End
					
						 2500 / 480","http://www.mobafire.com/league-of-legends/item/wits-end-68","Wit's End","http://www.mobafire.com/images/item/wits-end.gif","2500","480","40% Attack Speed, 40 Magic Resistance. UNIQUE Passive: Basic attacks steal 5 Magic Resist from the target (stacks up to 5 times). Basic attacks deal 40 bonus magic damage on hit.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/dagger.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/recurve-bow.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/negatron-cloak.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Farsight Alteration
					
						 0 / 0","http://www.mobafire.com/league-of-legends/item/farsight-alteration-312","Farsight Alteration","http://www.mobafire.com/images/item/farsight-alteration.gif","0","0","Active: Places a visible ward with 1 Health from 4000 units away and reveals the surrounding area for 2 seconds (148 - 99 second cooldown depending on level). Wards placed by the Farsight Alteration trinket last until killed and do not count towards your Stealth Ward limit.



The Farsight Alteration trinket cannot be purchased before level 9.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/warding-totem.gif""}]","[]","[{""item_maps"":""Summoner's Rift""}]"
"Bonetooth Necklace (Green)
					
						 0 / 0","http://www.mobafire.com/league-of-legends/item/bonetooth-necklace-green-240","Bonetooth Necklace (Green)","","0","0","UNIQUE Passive: MEMENTOS OF THE HUNT: Rengar collects trophies when killing champions and gains bonus effects based on how many trophies he has. Rengar gains one Trophy whenever he scores a kill or assist. (3 Trophies) Rengar gains 25 flat movement speed while out of combat or while in brush. (6 Trophies) Unseen Predator's range is increased by 125. (12 Trophies) Thrill of the Hunt's stealth duration is increased by 5 seconds. (20 Trophies) Thrill of the Hunt's bonus movement speed while stealthed is doubled. Scoring a kill or assist on  Kha'Zix during the event, The Hunt is On!, causes this item to upgrade into the  Head of Kha'Zix, which permanently grants the effects of all 20 trophies.","[]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Removed""}]"
"Zephyr
					
						 2850 / 725","http://www.mobafire.com/league-of-legends/item/zephyr-172","Zephyr","http://www.mobafire.com/images/item/zephyr.gif","2850","725","25 Attack Damage, 50% Attack Speed, 10% Cooldown Reduction, 10% Movement Speed. UNIQUE Passive: Tenacity: The duration of stuns, slows, taunts, fears, silences, blinds and immobilizes are reduced by 35%.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/pickaxe.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/stinger.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Ranger's Trailblazer
					
						 850 / 450","http://www.mobafire.com/league-of-legends/item/rangers-trailblazer-259","Ranger's Trailblazer","http://www.mobafire.com/images/item/rangers-trailblazer.gif","850","450","UNIQUE Passive: Blasting Smite: Smite deals half damage to all monsters and enemy minions near the target and stuns them for 1.5 seconds. Casting Smite on a monster restores 15% of missing Health and Mana.



UNIQUE Passive: Jungler: Deal 45 magic damage on hit to monsters over 2 seconds and gain 10 health and 5 mana per second while in combat with monsters. Additionally, you gain 30 gold for every large monster kill.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/hunters-machete.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Skirmisher's Sabre - Runeglaive
					
						 2675 / 140","http://www.mobafire.com/league-of-legends/item/skirmishers-sabre-runeglaive-272","Skirmisher's Sabre - Runeglaive","http://www.mobafire.com/images/item/skirmishers-sabre-runeglaive.gif","2675","140","40 Ability Power, 10% Cooldown Reduction, 250 Mana. Passive: Grants 10% Lifesteal vs monsters.



Passive: 150% Mana Regeneration while in the jungle. UNIQUE Passive: Spellblade: After using an ability, your next basic attack deals 100% base Attack Damage (+30% of ability power) bonus magic damage. (1.5 second cooldown). When directly attacking a monster, the bonus damage is reapplied in an AoE around the target and also restores 8% of your missing Mana.



UNIQUE Passive: Tooth / Nail: Basic attacks deal 20 bonus damage vs. monsters. Damaging a monster steals 30 health over 5 seconds. Killing a large monster grants +30 bonus experience.



UNIQUE Passive: Challenging Smite: Smite can be cast on enemy champions, marking them for 4 seconds. While marked, you deal 60-162 (based on level) true damage over 3 seconds, have vision of them, and reduce their damage to you by 20%.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/amplifying-tome.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sheen.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/skirmishers-sabre.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Removed""}]"
"Ninja Tabi - Distortion
					
						 1550 / 450","http://www.mobafire.com/league-of-legends/item/ninja-tabi-distortion-211","Ninja Tabi - Distortion","http://www.mobafire.com/images/item/ninja-tabi-distortion.gif","1550","450","30 Armor. UNIQUE Passive: Blocks 10% of the damage from basic attacks.



UNIQUE Passive: Enhanced Movement: +45 Movement Speed



UNIQUE Passive: Distortion: Teleport, Flash, and Ghost summoner spell cooldowns are reduced by 15%.



UNIQUE Passive: Increases Ghost movement speed to 40% from 27%



UNIQUE Passive: Grants +20% movement speed for 1 second after using Flash



UNIQUE Passive: Grants +30% movement speed for 3 seconds after successfully using Teleport","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ninja-tabi.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Blackfire Torch
					
						 2650 / 970","http://www.mobafire.com/league-of-legends/item/blackfire-torch-139","Blackfire Torch","http://www.mobafire.com/images/item/blackfire-torch.gif","2650","970","80 Ability Power, 10% Cooldown Reduction. UNIQUE Active: Deals 20% of target champion's maximum Health in magic damage over 6 seconds and increases all subsequent magic damage taken by the target by 20% (90 second cooldown)","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/blasting-wand.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/fiendish-codex.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Will of the Ancients
					
						 2300 / 300","http://www.mobafire.com/league-of-legends/item/will-of-the-ancients-107","Will of the Ancients","http://www.mobafire.com/images/item/will-of-the-ancients.gif","2300","300","80 Ability Power, 10% Cooldown Reduction. UNIQUE Passive: Your abilities heal you for 15% of the damage dealt, calculated before your opponent's resistances. (33% effect for AoE)","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/fiendish-codex.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/hextech-revolver.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Tracker's Knife - Warrior
					
						 2625 / 525","http://www.mobafire.com/league-of-legends/item/trackers-knife-warrior-317","Tracker's Knife - Warrior","http://www.mobafire.com/images/item/trackers-knife-warrior.gif","2625","525","60 Attack Damage, 10% Cooldown Reduction. Passive: Grants 10% Lifesteal vs monsters.



Passive: 150% Mana Regeneration while in the jungle. UNIQUE Passive: Tooth / Nail: Basic attacks deal 20 bonus damage vs. monsters. Damaging a monster steals 30 health over 5 seconds. Killing a large monster grants +30 bonus experience.



UNIQUE Passive: Warding (Minor): Consumes a charge to place a Stealth Ward that reveals the surrounding area for 150 seconds. Holds up to 2 charges which refill upon visiting the shop.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/trackers-knife.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/caulfields-warhammer.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""}]"
"Poacher's Knife - Cinderhulk
					
						 2250 / 400","http://www.mobafire.com/league-of-legends/item/poachers-knife-cinderhulk-264","Poacher's Knife - Cinderhulk","http://www.mobafire.com/images/item/poachers-knife-cinderhulk.gif","2250","400","400 Health, 15 Health Multiplier. UNIQUE Passive: Immolate: While in combat, deals 15 (+0.6 per champion level) magic damage a second to nearby enemies. This passive deals +100% damage against monsters.



UNIQUE Passive: Scavenging Smite: When you Smite and kill a large monster in the enemy jungle, the cooldown of Smite is halved, you gain +20 bonus gold, and you gain 175% increased Movement Speed decaying over 2 seconds.



UNIQUE Passive: Jungler: Deal 45 magic damage on hit to monsters over 2 seconds and gain 10 health and 5 mana per second while in combat with monsters. Additionally, you gain 30 gold for every large monster kill.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/bamis-cinder.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Removed""}]"
"Sorcerer's Shoes - Alacrity
					
						 1550 / 450","http://www.mobafire.com/league-of-legends/item/sorcerers-shoes-alacrity-207","Sorcerer's Shoes - Alacrity","http://www.mobafire.com/images/item/sorcerers-shoes-alacrity.gif","1550","450","15 Magic Penetration. UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: Alacrity: +20 Movement Speed.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sorcerers-shoes.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Stinger
					
						 1100 / 500","http://www.mobafire.com/league-of-legends/item/stinger-75","Stinger","http://www.mobafire.com/images/item/stinger.gif","1100","500","35% Attack Speed. UNIQUE Passive: +10% Cooldown Reduction.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/dagger.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/dagger.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/trinity-force.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/nashors-tooth.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/dervish-blade.gif""}]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Enchantment: Runic Echoes
					
						 1625 / 340","http://www.mobafire.com/league-of-legends/item/enchantment-runic-echoes-318","Enchantment: Runic Echoes","http://www.mobafire.com/images/item/enchantment-runic-echoes.gif","1625","340","60 Ability Power, 7% Movement Speed. UNIQUE Passive: Echo - Gain charges upon moving or casting. At full charges, the next spell hit expends all charges to deal 60 (+0.10 ability power) magic damage to up to 4 targets. This effect deals 250% damage to Large Monsters. Hitting a Large Monster with this effect will restore 18% of your missing mana.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/amplifying-tome.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/aether-wisp.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""}]"
"Boots of Speed
					
						 300 / 300","http://www.mobafire.com/league-of-legends/item/boots-of-speed-1","Boots of Speed","","300","300","UNIQUE Passive: Enhanced Movement: +25 Movement Speed.","[]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/berserkers-greaves.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/boots-of-swiftness.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/sorcerers-shoes.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/ninja-tabi.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/mercurys-treads.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/boots-of-mobility.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/ionian-boots-of-lucidity.gif""}]","[]"
"Malady
					
						 2035 / 800","http://www.mobafire.com/league-of-legends/item/malady-83","Malady","http://www.mobafire.com/images/item/malady.gif","2035","800","25 Ability Power, 45% Attack Speed. UNIQUE Passive: Your basic attacks deal 15 + 10% of your Ability Power as bonus magic damage. UNIQUE Passive: Your basic attacks reduce enemy Magic Resistance by 4 for 8 seconds (effect stacks up to 7 times).



(Item is unavailable for purchase)","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/dagger.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/dagger.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/amplifying-tome.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Poacher's Knife - Runeglaive
					
						 2250 / 200","http://www.mobafire.com/league-of-legends/item/poachers-knife-runeglaive-265","Poacher's Knife - Runeglaive","http://www.mobafire.com/images/item/poachers-knife-runeglaive.gif","2250","200","50 Ability Power, 10% Cooldown Reduction, 200 Mana. UNIQUE Passive: Scavenging Smite: When you Smite and kill a large monster in the enemy jungle, the cooldown of Smite is halved, you gain +20 bonus gold, and you gain 175% increased Movement Speed decaying over 2 seconds.



UNIQUE Passive: Jungler: Deal 45 magic damage on hit to monsters over 2 seconds and gain 10 health and 5 mana per second while in combat with monsters. Additionally, you gain 30 gold for every large monster kill.



UNIQUE Passive: Spellblade: After using an ability, the next basic attack deals 100% Base Attack Damage (+30% of ability power) bonus damage on hit and restores 8% of your missing Mana. If the target is a monster, the damage is also dealt in an area around the target. The first monster hit takes double damage.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sheen.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Removed""}]"
"Boots of Mobility - Captain
					
						 1350 / 450","http://www.mobafire.com/league-of-legends/item/boots-of-mobility-captain-219","Boots of Mobility - Captain","http://www.mobafire.com/images/item/boots-of-mobility-captain.gif","1350","450","UNIQUE Passive: Enhanced Movement: +25 Movement Speed. Increases to +115 Movement Speed when out of combat for 5 seconds.



UNIQUE Passive: Captain: Grants +10% Movement Speed to nearby approaching allied champions.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/boots-of-mobility.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Infinity Edge
					
						 3600 / 625","http://www.mobafire.com/league-of-legends/item/infinity-edge-46","Infinity Edge","http://www.mobafire.com/images/item/infinity-edge.gif","3600","625","70 Attack Damage, 20% Critical Strike Chance. UNIQUE Passive: Critical hits deal 250% damage instead of 200%.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/cloak-of-agility.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/pickaxe.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/b-f-sword.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Howling Abyss""}]"
"Dervish Blade
					
						 2700 / 300","http://www.mobafire.com/league-of-legends/item/dervish-blade-234","Dervish Blade","http://www.mobafire.com/images/item/dervish-blade.gif","2700","300","50% Attack Speed, 10% Cooldown Reduction, 45 Magic Resistance. Active: Removes all debuffs, and if champion is melee, also grants +50% bonus Movement Speed for 1 second (90 second cooldown).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/stinger.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/quicksilver-sash.gif""}]","[]","[{""item_maps"":""Twisted Treeline""}]"
"Serrated Dirk
					
						 1100 / 400","http://www.mobafire.com/league-of-legends/item/serrated-dirk-311","Serrated Dirk","http://www.mobafire.com/images/item/serrated-dirk.gif","1100","400","10 Armor Penetration, 20 Attack Damage. UNIQUE Passive: After killing any unit, your next basic attack or single target spell deals 15 bonus damage.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/long-sword.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/long-sword.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/youmuus-ghostblade.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/maw-of-malmortius.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/duskblade-of-draktharr.gif""}]","[]"
"Doran's Ring
					
						 400 / 400","http://www.mobafire.com/league-of-legends/item/dorans-ring-25","Doran's Ring","","400","400","15 Ability Power, 60 Health, 50% Base Mana Regeneration. Passive: Restores 4 mana when you kill an enemy unit.","[]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""}]"
"Kitae's Bloodrazor
					
						 2525 / 700","http://www.mobafire.com/league-of-legends/item/kitaes-bloodrazor-128","Kitae's Bloodrazor","http://www.mobafire.com/images/item/kitaes-bloodrazor.gif","2525","700","30 Attack Damage, 40% Attack Speed. UNIQUE Passive: Your basic attacks deal magic damage equal to 2.5% of the target's maximum Health.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/pickaxe.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/recurve-bow.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Boots of Mobility - Furor
					
						 1350 / 450","http://www.mobafire.com/league-of-legends/item/boots-of-mobility-furor-220","Boots of Mobility - Furor","http://www.mobafire.com/images/item/boots-of-mobility-furor.gif","1350","450","UNIQUE Passive: Enhanced Movement: +25 Movement Speed. Increases to +115 Movement Speed when out of combat for 5 seconds.



UNIQUE Passive: Furor: Upon dealing damage with a single target spell or attack (on hit), grants +12% Movement Speed that decays over 2 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/boots-of-mobility.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Frozen Mallet
					
						 3100 / 525","http://www.mobafire.com/league-of-legends/item/frozen-mallet-41","Frozen Mallet","http://www.mobafire.com/images/item/frozen-mallet.gif","3100","525","40 Attack Damage, 650 Health. UNIQUE Passive: Icy: Your basic attacks slow your target's Movement Speed by 40% (30% for ranged attacks) for 1.5 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ruby-crystal.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/pickaxe.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/jaurims-fist.gif""}]","[]","[]"
"Soul Anchor
					
						 0 / 0","http://www.mobafire.com/league-of-legends/item/soul-anchor-242","Soul Anchor","","0","0","Active: Consumes a charge to instantly revive you at your summoner platform and grants 125% movement speed that decays over 12 seconds. Soul Anchor starts with 1 charge, and gains an additional charge at levels 9 and 14. (Max: 2 charges).","[]","[]","[{""item_maps"":""Removed""}]"
"Health Potion
					
						 50 / 50","http://www.mobafire.com/league-of-legends/item/health-potion-27","Health Potion","","50","50","Click: Restores 150 Health over 15 seconds. Limited to 5 at one time. Limited to one type of Healing Potion.","[]","[]","[]"
"Jaurim's Fist
					
						 1200 / 450","http://www.mobafire.com/league-of-legends/item/jaurims-fist-310","Jaurim's Fist","http://www.mobafire.com/images/item/jaurims-fist.gif","1200","450","15 Attack Damage, 150 Health. UNIQUE Passive: Killing a unit grants 5 maximum Health, stacking up to 30 times.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ruby-crystal.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/long-sword.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/frozen-mallet.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/steraks-gage.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/titanic-hydra.gif""}]","[]"
"Stalker's Blade - Cinderhulk
					
						 2625 / 525","http://www.mobafire.com/league-of-legends/item/stalkers-blade-cinderhulk-275","Stalker's Blade - Cinderhulk","http://www.mobafire.com/images/item/stalkers-blade-cinderhulk.gif","2625","525","400 Health, 15 Health Multiplier. Passive: Grants 10% Lifesteal vs monsters.



Passive: 150% Mana Regeneration while in the jungle. UNIQUE Passive: Immolate: While in combat, deals 7 (+2 per champion level) magic damage a second to nearby enemies. This passive deals +100% damage against monsters.



UNIQUE Passive: Tooth / Nail: Basic attacks deal 20 bonus damage vs. monsters. Damaging a monster steals 30 Health over 5 seconds. Killing a large monster grants +30 bonus experience.



UNIQUE Passive: Chilling Smite: Smite can be cast on enemy champions, dealing 28-164 true damage and stealing 20% of the target's movement speed for 2 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/stalkers-blade.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/bamis-cinder.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""}]"
"Rapid Firecannon
					
						 2600 / 550","http://www.mobafire.com/league-of-legends/item/rapid-firecannon-294","Rapid Firecannon","http://www.mobafire.com/images/item/rapid-firecannon.gif","2600","550","30% Attack Speed, 30% Critical Strike Chance, 5% Movement Speed. Passive: Energize: Moving and attacking build stacks, up to 100. When fully stacked, your next basic attack expends the charges and becomes energized. UNIQUE Passive: Firecannon: Your energized gain 35% bonus range and deal 50-160 magic damage (depending on level) on-hit. Energized attacks work on structures.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/zeal.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/kircheis-shard.gif""}]","[]","[]"
"Ninja Tabi - Alacrity
					
						 1550 / 450","http://www.mobafire.com/league-of-legends/item/ninja-tabi-alacrity-212","Ninja Tabi - Alacrity","http://www.mobafire.com/images/item/ninja-tabi-alacrity.gif","1550","450","30 Armor. UNIQUE Passive: Blocks 10% of the damage from basic attacks.



UNIQUE Passive: Enhanced Movement: +45 Movement Speed



UNIQUE Passive: Alacrity: +20 Movement Speed","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ninja-tabi.gif""}]","[]","[{""item_maps"":""Removed""}]"
"B. F. Sword
					
						 1300 / 1300","http://www.mobafire.com/league-of-legends/item/b-f-sword-17","B. F. Sword","","1300","1300","40 Attack Damage.","[]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/infinity-edge.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/the-bloodthirster.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/essence-reaver.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/duskblade-of-draktharr.gif""}]","[]"
